"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV","Class1Volume","Class2Volume","Class3Volume","Class4Volume","Class5Volume","Class6Volume"
2018-02-01 00:00:00,="000000001157",1,"EB_NS",2,"East",3,0,"",20741,0,0,3,0,0,0,0
2018-02-01 00:00:00,="000000001157",2,"EB_OS",2,"East",0,0,"",20741,0,0,0,0,0,0,0
2018-02-01 00:00:00,="000000001157",3,"WB_OS",1,"West",0,0,"",20741,0,0,0,0,0,0,0
2018-02-01 00:00:00,="000000001157",4,"WB_NS",1,"West",0,0,"",20741,0,0,0,0,0,0,0
2018-02-01 00:05:00,="000000001157",1,"EB_NS",2,"East",6,0,"",18009,167,0,5,0,1,0,0
2018-02-01 00:05:00,="000000001157",2,"EB_OS",2,"East",0,0,"",18009,0,0,0,0,0,0,0
2018-02-01 00:05:00,="000000001157",3,"WB_OS",1,"West",0,0,"",18009,0,0,0,0,0,0,0
2018-02-01 00:05:00,="000000001157",4,"WB_NS",1,"West",0,0,"",18009,0,0,0,0,0,0,0
2018-02-01 00:10:00,="000000001157",1,"EB_NS",2,"East",4,0,"",18264,0,0,4,0,0,0,0
2018-02-01 00:10:00,="000000001157",2,"EB_OS",2,"East",0,0,"",18264,0,0,0,0,0,0,0
2018-02-01 00:10:00,="000000001157",3,"WB_OS",1,"West",0,0,"",18264,0,0,0,0,0,0,0
2018-02-01 00:10:00,="000000001157",4,"WB_NS",1,"West",0,0,"",18264,0,0,0,0,0,0,0
2018-02-01 00:15:00,="000000001157",1,"EB_NS",2,"East",3,0,"",17593,667,0,1,0,2,0,0
2018-02-01 00:15:00,="000000001157",2,"EB_OS",2,"East",0,0,"",17593,0,0,0,0,0,0,0
2018-02-01 00:15:00,="000000001157",3,"WB_OS",1,"West",0,0,"",17593,0,0,0,0,0,0,0
2018-02-01 00:15:00,="000000001157",4,"WB_NS",1,"West",0,0,"",17593,0,0,0,0,0,0,0
2018-02-01 00:20:00,="000000001157",1,"EB_NS",2,"East",3,0,"",18519,667,0,1,0,1,1,0
2018-02-01 00:20:00,="000000001157",2,"EB_OS",2,"East",0,0,"",18519,0,0,0,0,0,0,0
2018-02-01 00:20:00,="000000001157",3,"WB_OS",1,"West",0,0,"",18519,0,0,0,0,0,0,0
2018-02-01 00:20:00,="000000001157",4,"WB_NS",1,"West",0,0,"",18519,0,0,0,0,0,0,0
2018-02-01 00:25:00,="000000001157",1,"EB_NS",2,"East",3,0,"",17593,333,0,2,0,1,0,0
