date,Hours,AvgSpeed_max,AvgSpeed_mean,Volume_sum
2018-01-01,00,21759,18543.3333333333,37
2018-01-01,01,23333,19584.1666666667,46
2018-01-01,02,22963,19636.3333333333,49
2018-01-01,03,22639,20311.75,37
2018-01-01,04,25833,19767.0833333333,27
2018-01-01,05,23194,18838.25,37
2018-01-01,06,22222,19206.75,44
2018-01-01,07,23056,18446,35
2018-01-01,08,20333,18425.75,36
2018-01-01,09,23889,20064.4166666667,48
2018-01-01,10,24222,19373.6666666667,73
2018-01-01,11,20000,17234.25,111
2018-01-01,12,18981,16886.1666666667,112
2018-01-01,13,19750,17904.5833333333,160
2018-01-01,14,19198,17245.75,207
2018-01-01,15,18299,17161.0833333333,206
2018-01-01,16,18927,17442.25,216
2018-01-01,17,18596,17124.5,286
2018-01-01,18,19068,16628.25,304
2018-01-01,19,19097,17823.4166666667,156
2018-01-01,20,23241,18738.6666666667,102
2018-01-01,21,21528,18826.8333333333,82
2018-01-01,22,25556,19327.5833333333,50
2018-01-01,23,25833,20704,32
